S.no,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Subscribers (M),Views avg. (M),Likes avg. (M),Comments avg. (K),Shares avg. (K)
257,itsqcp,QCP,10.8M,3.9M,529.1K,1.4K,948,10.8,3.9,0.5291,1400.0,948.0
258,tooturnttony,Tooturnttony,17.7M,3.7M,355.5K,2.6K,1.1K,17.7,3.7,0.3555,2600.0,1100.0
259,theodortytb,THEODORT,1.5M,2.6M,563.3K,2.5K,773,1.5,2.6,0.5632999999999999,2500.0,773.0
260,drewafualo,Drew Afualo,7.7M,2M,322.1K,6.5K,977,7.7,2.0,0.3221,6500.0,977.0
261,xoang_xa,maliha,917.6K,2.1M,475K,2.9K,1.8K,0.9176,2.1,0.475,2900.0,1800.0
262,runabyte,Runa,949.4K,2.1M,573.2K,1.8K,2.2K,0.9494,2.1,0.5732,1800.0,2200.0
263,notshanebennett,Shane Bennett,2.6M,2.6M,589.4K,1.2K,1.9K,2.6,2.6,0.5893999999999999,1200.0,1900.0
264,shadisrour,Shadi Srour,2.2M,3.2M,196.4K,2.3K,5.2K,2.2,3.2,0.19640000000000002,2300.0,5200.0
265,ninonrambaud,Ninon Rambaud,123.5K,4.1M,441.5K,1.5K,1.1K,0.1235,4.1,0.4415,1500.0,1100.0
266,kyleechoi,Kylee Choi,19.8K,1.8M,483.5K,3K,2.3K,0.0198,1.8,0.4835,3000.0,2300.0
267,eljuandiduque,eljuandiduque,6.2M,1.8M,171.3K,1.5K,13.4K,6.2,1.8,0.1713,1500.0,13400.0
268,minami.0819,🦄💙MINAMI💙🦄,1.6M,2M,187.1K,9.7K,2.4K,1.6,2.0,0.1871,9700.0,2400.0
269,raredoodle,rare doodle,1.8M,3.2M,370.1K,2.4K,1.5K,1.8,3.2,0.37010000000000004,2400.0,1500.0
270,benyaparimm,BEN YAPARIM ! 🇹🇷,519.3K,3.6M,186.1K,1.5K,5.2K,0.5193,3.6,0.1861,1500.0,5200.0
271,thehypehouse,The Hype House,21.1M,3.2M,441.7K,2.7K,523,21.1,3.2,0.4417,2700.0,523.0
272,livvy,Olivia Dunne,5.9M,3.1M,397.9K,2.3K,1.4K,5.9,3.1,0.3979,2300.0,1400.0
273,choega,BEDDY,5.5M,2.1M,348.2K,4.1K,2K,5.5,2.1,0.3482,4100.0,2000.0
274,cerenyaldz,Ceren Yaldız,9.4M,4.4M,184.1K,4.8K,712,9.4,4.4,0.18409999999999999,4800.0,712.0
275,miichaelltran,Michael,6.5M,2.5M,442.7K,2.3K,1.8K,6.5,2.5,0.4427,2300.0,1800.0
276,dunkmvp,DunkMVP,3.5M,3.5M,405.7K,1.4K,1.8K,3.5,3.5,0.4057,1400.0,1800.0
277,jimena.jimenezr,Jimena,24.2M,3.3M,521.1K,959,1.6K,24.2,3.3,0.5211,959.0,1600.0
278,tangozilla,TANGOZILLA,280K,2.2M,467.5K,1.3K,3K,0.28,2.2,0.4675,1300.0,3000.0
279,melfouad,Melfouad,1.3M,2.4M,209.4K,2.1K,6.6K,1.3,2.4,0.2094,2100.0,6600.0
280,t22felton,Tom Felton,10.1M,2.8M,303.5K,3.1K,2K,10.1,2.8,0.3035,3100.0,2000.0
281,bu_kre_sabi,Bu Kre Sabi⁉️,472.4K,5.1M,255.2K,659,2.6K,0.4724,5.1,0.2552,659.0,2600.0
282,lucasvarelaaaa,Lucas varela,2.9M,2M,282K,810,6.7K,2.9,2.0,0.282,810.0,6700.0
283,mndiaye_97,mndiaye_97,15.1M,2.2M,443.7K,2.5K,1.9K,15.1,2.2,0.4437,2500.0,1900.0
284,jessechrisss,Jess,3.5M,8.9M,471K,775,223,3.5,8.9,0.471,775.0,223.0
285,n.vv3,ناصر || 🇸🇦 alsubaie,4M,2.9M,149.6K,2.3K,7.4K,4.0,2.9,0.14959999999999998,2300.0,7400.0
286,tammyhembrow,Tammy Hembrow,1.7M,3.8M,429.5K,1.3K,1.3K,1.7,3.8,0.4295,1300.0,1300.0
287,jackjos3ph,Jack Joseph,3.2M,2.1M,323.1K,2.5K,3.8K,3.2,2.1,0.3231,2500.0,3800.0
